rowIDs,year,source,authors,title,n.citations,ECC
27,1942,The Journal of Abnormal and Social Psychology,EH Rodnick,The effect of metrazol shock upon habit systems.,26,26
28,1943,The Pedagogical Seminary and Journal of â€¦,"CJ Warden, W Galt","A study of cooperation, dominance, grooming, and other social factors in monkeys",58,58
29,1943,The Condor,GA Bartholomew,Contests of double-crested cormorants for perching sites,5,5
30,1943,NA,LG Lowrey,Review of And keep your powder dry.,0,0
31,1944,Psychosomatic Medicine,"JH Masserman, PW Siever","Dominance, neurosis, and aggression: an experimental study.",33,33
32,1944,American Journal of Orthopsychiatry,JH Masserman,Experimental neuroses and group aggression.,12,12
33,1944,Physiological Zoology,NE Collias,Aggressive behavior among vertebrate animals,372,372
34,1945,Journal of Comparative Psychology,JP Seward,Aggressive behavior in the rat. II. An attempt to establish a dominance hierarchy.,44,44
35,1945,Journal of Comparative Psychology,JP Seward,Aggressive behavior in the rat. I. General characteristics; age and sex differences.,180,180
36,1946,The Journal of Abnormal and Social Psychology,TC Schneirla,Problems in the bio-psychology of social organization.,144,144
37,1946,Journal of Comparative Psychology,JP Seward,"Aggressive behavior in the rat. IV. Submission as determined by conditioning, extinction, and disuse.",73,73
38,1946,The Journal of Abnormal and Social Psychology,HH Anderson,Socially integrative behavior.,9,9
39,1947,Physiological Zoology,EA Beeman,The effect of male hormone on aggressive behavior in mice,460,460
40,1947,Physiological zoology,MP Finkel,The transmission of radio-strontium and plutonium from mother to offspring in laboratory animals,62,62
41,1947,NA,AT Jersild,Development of social behavior (continued).,0,0
42,1948,Journal of Comparative and Physiological â€¦,"AF McBride, DO Hebb","Behavior of the captive bottle-nose dolphin, Tursiops truncatus.",253,253
43,1948,NA,V White,On The Iliad,0,0
44,1950,Zoologica,NE Collias,Some variations in grouping and dominance patterns among birds and mammals,24,24
45,1950,Annals of the New York Academy of â€¦,NE Collias,"tion of such problems depends on adequate field studies, since such studies set the stage for further analysis.",0,0
46,1950,Journal of Applied Psychology,"MB Mitchell, HF Rothe",Validity of an emotional key on a short industrial personality questionnaire.,2,2
47,1950,The Journal of Abnormal and Social â€¦,"H Fensterheim, HG Birch",A case study of group ideology and individual adjustment.,4,4
48,1950,American Journal of â€¦,"SJ Beck, F Alexander, HV McLeanâ€¦","Symposium, 1949: Looking ahead in the fields of orthopsychiatric research.",0,0
49,1951,The Condor,"NE Collias, RD Taber",A field study of some grouping and dominance relations in ring-necked pheasants,48,48
50,1951,The Journal of Abnormal and â€¦,"HG Gough, H McClosky, PE Meehl",A personality scale for dominance.,182,182
51,1951,Physiological zoology,"WI Smith, S Ross",Avitaminosis and social dominance in male C3H mice,5,5
52,1951,Physiological zoology,F Ritchey,Dominance-subordination and territorial relationships in the common pigeon,25,25
53,1951,Comparative Psychology,FWL HENS,"formalized, that is, the animals may compete for social status in",0,0
54,1951,Journal of Comparative and Physiological Psychology,WT James,"Social organization among dogs of different temperaments, terriers and beagles, reared together.",33,33
55,1951,Physiological Zoology,"JP Scott, E Fredericson",The causes of fighting in mice and rats,540,540
56,1951,NA,R Hinde,A Comparative Behaviour study of the Paridae,1,1
57,1952,Psychosomatic Medicine,"EB Brody, EH ROSVOLD",Influence of prefrontal lobotomy on social interaction in a monkey group,74,74
58,1952,Psychological bulletin,"WI Smith, S Ross",The social behavior of vertebrates: a review of the literature (1939-1950).,26,26
59,1952,NA,"EL Hartley, RE Hartley",Leadership-followership.,1,1
60,1952,NA,"EL Hartley, RE Hartley",Modifying ethnic attitudes.,0,0
61,1952,Journal of Mammalogy,JB Calhoun,The social aspects of population dynamics,106,106
62,1952,Behaviour. Supplement,RA Hinde,The behaviour of the great tit (Parus major) and some other related species,620,620
63,1953,Southern Society for Philosophy and Psychology,LS Tsai,Dominance hierarchy and time gradients in white rats with a new technique,3,3
64,1953,Journal of comparative and physiological â€¦,O Weininger,The performance of white rats as a function of dominance and accumulating activity.,3,3
65,1953,Meanjin,K Danziger,Science-Or Pseudo-science?,0,0
66,1953,Ecological Monographs,RZ Brown,"Social behavior, reproduction, and population changes in the house mouse (Mus musculus L.)",311,311
67,1953,NA,FR Cagle,An outline for the study of a reptile life history,13,13
68,1954,Journal of comparative and â€¦,"HE Rosvold, AF Mirsky, KH Pribram",Influence of amygdalectomy on social behavior in monkeys.,422,422
69,1954,Brain,"KH Pribram, JF Fulton",An experimental critique of the effects of anterior cingulate ablations in monkey,132,132
70,1954,Proceedings of the American Philosophical Society,JA King,Closed social groups among domestic dogs,32,32
71,1954,æ—¥æœ¬ç”Ÿæ…‹å­¦ä¼šèªŒ,æ²³ç«¯æ”¿ä¸€,ãƒ¡ãƒ€ã‚«ã®ç¤¾ä¼šç”Ÿæ…‹å­¦çš„ç ”ç©¶: I. ç¤¾ä¼šè¡Œå‹•ã«ã¤ã„ã¦,3,3
72,1954,Annual review of psychology,RA Patton,Physiological psychology,2,2
73,1954,Ibis,J Gibb,"Feeding ecology of tits, with notes on treecreeper and goldcrest.",375,375
74,1954,NA,JW TWENTE JR,Habitat selection of cavern-dwelling bats as illustrated by four vespertilionids,3,3
75,1954,NA,G Dolger,The effect of social isolation on the behavior of the albino rat,16,16
76,1954,Behaviour,"RA Littman, LM Lanski, RJ Rhine",Studies of individual and paired interactional problem solving behavior of rats (Mus norvegicus albinus),19,19
77,1955,Journal of comparative and â€¦,"RE Miller, JV Murphy, IA Mirsky",The modification of social dominance in a group of monkeys by interanimal conditioning.,29,29
78,1955,Ecology,RS Howard,The occurrence of fighting behavior in the grain beetle Tenebrio molitor with the possible formation of a dominance hierarchy,4,4
79,1955,The Annual of Animal Psychology,M KAWAI,The dominance hierarchy and homosexual behavior observed in a male rabbit group,2,2
80,1955,Physiological Zoology,C Holabird,Social organization in flocks of Light Brahma hens as compared with other breeds,17,17
81,1955,NA,AE Fisher,THE EFFECTS OF DIFFERENTIAL EARLY TREATMENT ON THE SOCIAL AND EXPLORATORYBEHAVIOR OF PUPPIES,97,97
82,1955,å‹•ç‰©å¿ƒç†å­¦å¹´å ±,æ²³åˆé›…é›„,ã‚«ã‚¤ã‚¦ã‚µã‚®ã®ã‚ªã‚¹ã‚°ãƒ«ãƒ¼ãƒ—ã«ãŠã‘ã‚‹é †ä½åˆ¶ã¨ãƒ›ãƒ¢æ€§è¡Œå‹•,0,0
83,1955,Journal of comparative and physiological psychology,JS Stamm,Hoarding and aggressive behavior in rats.,6,6
84,1955,Journal of Mammalogy,JW Twente Jr,Aspects of a population study of cavern-dwelling bats,77,77
85,1955,Ecology,JW Twente Jr,Some aspects of habitat selection and other behavior of cavernâ€dwelling bats,267,267
86,1956,Journal of comparative and physiological â€¦,"AA Pawloski, JP Scott",Hereditary differences in the development of dominance in litters of puppies.,35,35
87,1956,Journal of Mammalogy,"S Ross, J Berg",Stability of food dominance relationships in a flock of goats,18,18
88,1956,The Journal of Social Psychology,"RE Miller, JV Murphy",Social interactions of rhesus monkeys: I. Food-getting dominance as a dependent variable,30,30
89,1956,Journal of Mammalogy,"PF Gilbert, RR Hill",Healing of the fractured leg bone of an elk,4,4
90,1956,The British Journal of Animal Behaviour,MRA Chance,Social structure of a colony of Macaca mulatta,193,193
91,1956,Canadian Journal of Psychology â€¦,"R Melzack, WR Thompson",Effects of early experience on social behaviour.,68,68
92,1956,Ecology,JP Scott,Allee Memorial Number: Introduction,0,0
93,1956,Journal of comparative and physiological â€¦,"RE Miller, JV Murphy",Social interactions of rhesus monkeys: II. Effects of social interaction on the learning of discrimination tasks.,11,11
94,1956,Canadian Journal of Psychology/Revue â€¦,WR Thompson,Effects of early experience on social behaviour,0,0
95,1956,Psychological Review,G Murphy,Affects and perceptual learning.,52,52
96,1956,Insectes Sociaux,TC Schneirla,A preliminary survey of colony division and related processes in two species of terrestrial army ants,28,28
97,1956,Ibis,A Hinde,The biological significance of the territories of birds.,651,651
98,1957,Journal of â€¦,"AF Mirsky, HE Rosvoldâ€¦",Effects of cingulectomy on social behavior in monkeys,45,45
99,1957,NA,RG Bellah,Breed differences among chickens as related to compatibility when reared together,6,6
100,1957,Journal of experimental psychology,JF Wohlwill,"The abstraction and conceptualization of form, color, and number.",20,20
101,1957,Behaviour,"A Baron, CN Stewart, JM Warren",Patterns of social interaction in cats (Felis domestica),47,47
102,1957,The Journal of genetic psychology,JA King,Relationships between early social experience and adult aggressive behavior in inbred mice,88,88
103,1957,Zoologica,J Crane,Imaginal behavior in butterflies of the family Heliconiidae: changing social patterns and irrelevant actions,54,54
104,1957,Journal of comparative and physiological â€¦,"ES Valenstein, RW Goy",Further studies of the organization and display of sexual behavior in male guinea pigs.,29,29
105,1957,NA,JL Seubert,Observations on the renesting behavior of the ring-necked pheasant,0,0
106,1957,Behavioral Science,"C Russell, WMS Russell",An approach to human ethology,19,19
107,1958,Psychological Reports,"R Radlow, EB Hale, WI Smith",Note on the role of conditioning in the modification of social dominance,6,6
108,1958,The Journal of Social Psychology,"JM Warren, RJ Maroney",Competitive social interaction between monkeys,80,80
109,1958,NA,HS Napier,Social Conditioning in the Modification of a Dominance Hierarchy Among White Rats,0,0
110,1958,Zoologica,T McHugh,Social behavior of the American buffalo (Bison bison bison).,393,393
111,1958,The Wilson Bulletin,"PL Castoro, AM Guhl",Pairing behavior of pigeons related to aggressiveness and territory,22,22
112,1958,Animal Behaviour,G McBride,The measurement of aggressiveness in the domestic hen,49,49
113,1958,Proceedings of the Zoological Society of London,SA Barnett,An analysis of social behaviour in wild rats,342,342
114,1959,CSIRO Wildlife Research,"K Myers, WE Poole","A study of the biology of the wild rabbit, Oryctolagus cuniculus (L.), in confined populations. I. The effects of density on home range and the formation of breeding grounds",65,65
115,1959,The Journal of Psychology,"RW Leary, D Slye",Dominance reversal in drugged monkeys,11,11
116,1959,NA,GE Dexter,"The Effect of Reinforcing"" displaced Aggression"" upon Dominance Hierarchy of White Rats...",0,0
117,1959,The Journal of Social â€¦,"RJ Maroney, JM Warren, MM Sinha",Stability of Social Dominance Hierarchies in Monkeys (Macaca Mulatta),19,19
118,1959,Bird Study,RA Hinde,Some factors influencing sexual and aggressive behaviour in male chaffinches,11,11
119,1959,åŒ—æµ·é“å¤§å­¸ç†å­¸éƒ¨ç´€è¦,H MASATOMI,"Attacking Behaviour in Homosexual Groups of the Bengalee, Uroloncha striata var. domestica Flower (With 5 Text-figures)",7,7
120,1959,AMA archives of general psychiatry,"RW Leary, AJ Stynes","Tranquilizer effects in the social status, motivation, and learning of monkeys",12,12
121,1959,Journal of comparative and â€¦,"H Knoblock, B Pasamanick",The development of adaptive behavior in an infant gorilla.,12,12
122,1959,American Anthropologist,JE Frisch,Research on primate behavior in Japan,50,50
123,1959,American Psychologist,DR Kenshalo,Proceedings of the fifty-first annual meeting of the Southern Society for Philosophy and Psychology.,1,1
124,1959,The Auk,"NE Collias, LR Jahn",Social behavior and breeding success in Canada geese (Branta canadensis) confined under semi-natural conditions,119,119
125,1959,Journal of Mammalogy,SA Altmann,Field observations on a howling monkey society,274,274
126,1960,Psychological Reports,CL Hamilton,Comparison of two methods of dominance testing in the monkey,53,53
127,1960,CSIRO Wildlife Research,R Mykytowycz,"Social behaviour of an experimental colony of wild rabbits, Oryctolagus cuniculus (L.) III. Second breeding season",86,86
128,1960,Genetics,"AJ Cain, JMB King, PM Sheppard",New data on the genetics of polymorphism in the snail Cepaea nemoralis L,109,109
129,1960,CSIRO Wildlife Research,"ML Dudzinski, R Mykytowycz","Analysis of weights and growth rates of an experimental colony of wild rabbits, Oryctolagus cuniculus (L.)",22,22
130,1960,The Condor,WL Thompson,Agonistic behavior in the house finch. Part II: factors in aggressiveness and sociality,77,77
131,1960,NA,EA McMahan,Laboratory studies of Cryptotermes brevis (Walker)(Isoptera: Kalotermitidae) with special reference to colony development and behavior,3,3
132,1960,Current Anthropology,K Imanishi,Social organization of subhuman primates in their natural habitat,183,183
133,1960,Behaviour,KRL Hall,"Social vigilance behaviour of the chacma baboon, Papio ursinus",75,75
134,1960,Symposia of the Zoological Society of London,JP SPRADBERY,"Sirex Biological Control Unit, CSIRO, Sunninghill, Ascot",0,0
135,1960,Bird-Banding,"MS FICKEN, RW FICKEN",Vol. XXXVII Recoveries of Starlings Banded at Columbus [273,0,0
136,1960,American Midland Naturalist,JP Hailman,Notes on the following response and other behavior of young gray squirrels,5,5
137,1960,Journal of the American Psychoanalytic â€¦,M Ostow,Psychoanalysis and ethology,8,8
138,1960,Annual review of psychology,KH Pribram,A review of theory in physiological psychology,240,240
139,1960,Lancet,VCOFC RIB,"ing proximal colon in right-sided lesions, and 10 cm. or",0,0
140,1960,NA,D Rethlingshafer,Biological approach to motivation.,1,1
141,1960,Insectes sociaux,K Hayashida,Studies on the ecological distribution of ants in Sapporo and its vicinity,38,38
142,1960,Bird-Banding,RA Norris,"Density, racial composition, sociality, and selective predation in nonbreeding populations of savannah sparrows",15,15
143,1960,NA,ED Bailey,Behavior of the Rattlesnake mule deer on their winter range,6,6
144,1960,Current anthropology,NC Tappen,Problems of distribution and adaptation of the African monkeys,128,128
145,1961,Journal of Comparative and Physiological Psychology,WA Mason,The effects of social restriction on the behavior of rhesus monkeys: III. Dominance tests.,77,77
146,1961,Behaviour,RD Alexander,"Aggressiveness, territoriality, and sexual behavior in field crickets (Orthoptera: Gryllidae)",801,801
147,1961,Scientific American,"SL Washburn, I DeVore",The social life of baboons,299,299
148,1961,Ibis,JRO KlKKAWA,SOCIAL BEHAVIOUR OF THE WHITEâ€EYE ZOSTEROPS LATERALIS IN WINTER FLOCKS,34,34
149,1961,The Auk,"RK Selander, CJ La Rue Jr",Interspecific preening invitation display of parasitic cowbirds,34,34
150,1971,Proceedings of the Indiana Academy of Science,SL DONALDSON,Space and Conflict in Cattle,0,0
151,1961,CSIRO Wildlife Research,"K Myers, WE Poole","A study of the biology of the wild rabbit, Oryctolagus cuniculus (L.), in confined populations. II. The effects of season and population increase on behaviour",136,136
152,1961,The American Naturalist,"BL Welch, PH Klopfer",Endocrine variability as a factor in the regulation of population density,31,31
153,1961,The Auk,AI Roest,Interspecific Relationships among Birds,0,0
154,1961,Archives of general psychiatry,"A BURTON, J ADKINS",Perceived size of self-image body parts in schizophrenia,25,25
155,1961,Bird Study,EM Barraud,The development of behaviour in some young passerines,34,34
156,1961,Japanese Journal of Ornithology,J Kikkawa,Flocking of the White-eye Zosterops lateralis in New Zealand,2,2
157,1961,Wildfowl,PA Johnsgard,Breeding biology of the Magpie Goose,25,25
158,1961,Symp. Soc. Exp. Biol,"SM Rose, FC Rose",Growth-controlling exudates of tadpoles,43,43
159,1961,American Journal of Orthopsychiatry,"MB Waller, JL Fuller","Animal research: Panel, 1960: 2. Preliminary observations on early experience as related to social behavior.",13,13
160,1961,é³¥,æ©˜å·æ¬¡éƒŽ,ãƒ‹ãƒ¥ãƒ¼ã‚¸ãƒ¼ãƒ©ãƒ³ãƒ‰ç”£ãƒ¡ã‚¸ãƒ­ã®ç¾¤ç”Ÿæ´»ã«ã¤ã„ã¦,0,0
161,1961,Social life of early man,AI Hallowell,The protocultural foundations of human adaptation,28,28
162,1961,NA,AH Buss,The psychology of aggression,3985,3985
163,1962,Journal of comparative and physiological â€¦,"RE Miller, JH Banks Jr",The determination of social dominance in monkeys by a competitive avoidance method.,39,39
164,1962,Annals of the New York Academy of Sciences,SA Altmann,"A FIELD STUDY OF THE SOCIOBIOLOGY OF RHESUS MONKEYS, MACACA MULATTA*",1129,1129
165,1962,NA,J Murray,Factors affecting gene-frequencies in some populations of Cepaea,18,18
166,1962,Nature,R Mykytowycz,"Territorial function of chin gland secretion in the rabbit, Oryctolagus cuniculus (L.)",66,66
167,1962,Journal of the Fisheries Board of Canada,DW Chapman,Aggressive behavior in juvenile coho salmon as a cause of emigration,493,493
168,1962,Canadian Journal of Zoology,JJ Magnuson,"An analysis of aggressive behavior, growth, and competition for food and space in medaka (Oryzias latipes (Pisces, Cyprinodontidae))",346,346
169,1962,NA,PM Bluhm,The Effects of an Approach-avoidance Conflict Situation and a Tranquilizer on the Dominance Hierarchy of Twenty-four Rats,0,0
170,1962,NA,I DeVore,The evolution of social life,34,34
171,1962,American Midland Naturalist,MW Sorenson,Some aspects of water shrew behavior,58,58
172,1962,Journal of comparative and physiological â€¦,"RW Leary, RJ Maroney",The effect of home-cage environment on the social dominance of monkeys.,12,12
173,1962,Acta Neurovegetativa,"CL Hamilton, JR Brobeck",Hypothalamic hyperphagia and social interaction in the monkey,0,0
174,1962,CSIRO Wildlife Research,"R Carrick, SE Csordas, SE Ingham, K Keith","Studies on the southern elephant seal, Mirounga leonina (L.). III. The annual cycle in relation to age and sex",144,144
175,1962,British Journal of Social and Clinical Psychology,E Gellert,The effect of changes in group composition on the dominant behaviour of young children,29,29
176,1962,Zeitschrift fÃ¼r Tierpsychologie,ES Reese,Submissive posture as an adaptation to aggressive behavior in hermit crabs1,40,40
177,1962,NA,LW Yudin,A developmental study of concept attainment.,2,2
178,1962,NA,MG Hornocker,Population characteristics and social and reproductive behavior of the grizzly bear in Yellowstone National Park,75,75
179,1962,Journal of the Experimental Analysis of â€¦,"RE Ulrich, NH Azrin",REFLEXIVE FIGHTING IN RESPONSE TO AVERSIVE STIMULATION1,619,619
180,1962,NA,KH Pribram,Interrelations of psychology and the neurological disciplines.,54,54
181,1962,NA,SS Tomkins,Affect imagery consciousness: Volume I: The positive affects,6701,6701
182,1962,NA,PJ Dillon,"Imprinting, with special reference to anxiety",0,0
183,1963,The Condor,JL Brown,"Aggressiveness, dominance and social organization in the Steller Jay",203,203
184,1963,Journal of the Experimental â€¦,"GS Reynolds, AC Cataniaâ€¦",Conditioned and unconditioned aggression in pigeons,87,87
185,1963,Psychological Reports,IS Bernstein,Social activities related to rhesus monkey consort behavior,38,38
186,1963,Primates,RL Henshel,Some convergences between maslow's primate dominance studies and a theory of human coalitions by T. Caplow; A proposal for further investigation,1,1
187,1963,Psychological Reports,"R Ader, EW Hahn",Dominance and Emotionality in the Rat and their Effects on Mortality to Whole-Body X-Irradiation,1,1
188,1963,â€¦ Monographs: General and â€¦,"EE Jones, KJ Gergen, RG Jones",Tactics of ingratiation among leaders and subordinates in a status hierarchy.,166,166
189,1963,NA,"SL Washburn, DF Owen","The Mountain Gorilla, Ecology, and Behavior",0,0
190,1963,The potential of woman. New York: McGraw-Hill,P Jay,The female primate,15,15
191,1963,NA,P Marler,The mountain gorilla: Ecology and behavior,3,3
192,1963,Science,CB Koford,Rank of mothers and sons in bands of rhesus monkeys,185,185
193,1963,Human biology,W Etkin,Social behavioral factors in the emergence of man,37,37
194,1963,NA,RH Eastman,Infrared Absorption Spectroscopyâ€”Practical,0,0
195,1963,NA,"EF Borgatta, RF Bales, AS Couch",Some findings relevant to the great man theory of leadership.,363,363
196,1963,Brain Function,KS NORRIS,schools (Globicephala scammoni) will form the basis for much of what I,0,0
197,1963,Nature,J Bradley,Educational and Social Failure: An Experimental Approach,2,2
198,1963,Journal of the Experimental Analysis â€¦,A Pigeon,general illumination in the cage. Attacks were,0,0
199,1963,Behaviour,V Geist,On the behaviour of the North American moose (Alces alces andersoni Peterson 1950) in British Columbia,109,109
200,1963,Science,"NO Kuhn, CG Harford",Electron microscope autoradiography of bacteria labeled with iodine-125,9,9
201,1963,National Geographic,"J Goodall, H van Lawick",My life with the wild chimpanzees,181,181
202,1963,Behaviour,HC Miller,"The Behavior of the Pumpkinseed Sunfish, Lepomis Gibbosus (Linneaus), With Notes On the Behavior of Other Species of Lepomis and the Pigmy Sunfish, Elassoma Evergladei",143,143
203,1963,The Condor,JL Brown,Social organization and behavior of the Mexican Jay,135,135
204,1963,NA,RF Clarke,"An ethological study of the iguanid lizard genera Callisaurus, Cophosaurus, and Holbrookia",106,106
205,1963,NA,"J Archer, F Huntingford",_ CHAPTER,3,3
206,1963,NA,RT Lynn,"Comparative behavior of the horned lizards, genus Phrynosoma, of the United States",5,5
207,1963,â€¦ Transactions of the Royal Society of â€¦,"AJ Cain, JD Currey",Area effects in Cepaea,310,310
208,1964,Psychonomic Science,"S Wechkin, JH Masserman, W Terris",Shock to a conspecific as an aversive stimulus,152,152
209,1964,Animal Behaviour,Y Espmark,Studies in dominance-subordination relationship in a group of semi-domestic reindeer (Rangifer tarandus L.),141,141
210,1964,The Journal of Abnormal and â€¦,"A Biernoff, RW Leary, RA Littman",Dominance behavior of paired primates in two settings.,11,11
211,1964,Sociometry,MG King,Hierarchical structure in emergent control,2,2
212,1964,Radiation research,AK Solarz,The effects of X-irradiation on the dominance behavior of the adult female beagle: a methodological problem,1,1
213,1964,Animal Behaviour,G McBride,Social discrimination and subflock structure in the domestic fowl,13,13
214,1964,The Journal of psychology,"AL Mcdonald, NW Heimstra",Modification of aggressive behavior of green sunfish with d-lysergic acid diethylamide,11,11
215,1964,Proc E Afr Acad,JS Gartlan,Dominance in east African monkeys,21,21
216,1964,NA,J Bradley,Educational and Social Failure: Some Further Observations,2,2
217,1964,The Journal of Abnormal and Social Psychology,RM Dawes,Social selection based on multidimensional criteria.,231,231
218,1964,Psychological bulletin,AM Guhl,Psychophysiological interrelations in the social behavior of chickens.,39,39
219,1964,NA,RA Hinde,Book Review: Aggression: A Social Psychological Analysis,0,0
220,1964,Copeia,RJ Miller,"Studies on the social behavior of the blue gourami, Trichogaster trichopterus (Pisces, Belontiidae)",91,91
221,1964,Journal of Comparative and â€¦,"CL Hamilton, JR Brobeck",Hypothalamic hyperphagia in the monkey.,55,55
222,1964,NA,EM Kerfoot,Some aspects of mate selection in domestic pigeons,8,8
223,1964,Animal Behaviour,"LA Rosenblum, IC Kaufman, AJ Stynes",Individual distance in two species of macaque,81,81
224,1964,"â€¦ and Drug Action, H. Steinburg, Ed â€¦","CWM Wilson, REA Mapes",The effects of group composition on drug action,7,7
225,1964,Perspectives in biology and medicine,P Shepard,"The Corvidean Millennium; or, Letter from an Old Crow",3,3
226,1964,åŒ—æµ·é“å¤§å­¸ç†å­¸éƒ¨ç´€è¦,H Masatomi,Social Relations among Young Yezo Brown Bears in Captivity (With 8 Text-figures and 2 Tables),7,7
227,1964,Culture and the Direction of Human Evolution,EOF MAN,BY WILLIAM ETKIN,0,0
228,1964,Africana Newsletter,"DA Horr, P Warshall",American Scientists on the structure of social life amongst Baboons,2,2
229,1964,Wildlife Monographs,"HM Marsden, NR Holler",Social behavior in confined populations of the cottontail and the swamp rabbit,84,84
230,1964,NA,G McBride,A general theory of social organization and behaviour,80,80
231,1964,Animal Behaviour,"DF Lindsley, L Weiskrantz, R Mingay","Differentiation of frontal, inferotemporal and normal monkeys in a visual exploratory situation",13,13
232,1964,Animal Behaviour,IS Bernstein,A field study of the activities of howler monkeys,87,87
233,1964,American Journal of Psychiatry,C RULE,A biologically based theory of human behavior and its implications for psychiatry: speculations derived from recent studies of social behavior of non-human primates,4,4
234,1964,NA,AR Arasteh,Man and society in Iran,96,96
235,1964,Annual Review of Psychology,"WA Mason, AJ Riopelle",Comparative psychology,11,11
236,1964,NA,AH Maslow,"Religions, values, and peak-experiences",3978,3978
237,1965,Australian Journal of Psychology,"J Nash, F Hayes",The parental relationships of male homosexuals: Some theoretical issues and a pilot study,25,25
238,1965,Ecology,JH Kaufmann,A threeâ€year study of mating behavior in a freeranging band of rhesus monkeys,258,258
239,1965,Animal Science,"G McBride, JW James, GSF Wyeth",Social behaviour of domestic animals VII. Variation in weaning weight in pigs,68,68
240,1965,NA,HG Lumsden,Displays of the sharptail grouse,37,37
241,1965,NA,I DeVore,Baboons.,1,1
242,1965,Readings in Animal â€¦,"JH WOOLPY, BE GINSBURG",GEORGE B. RABB,0,0
243,1965,NA,R Schmuck,Strategies of dominance and social power,3,3
244,1965,Animal Behaviour,MG King,Disruptions in the pecking order of cockerels concomitant with degrees of accessability to feed,34,34
245,1965,Discovery,P Leyhausen,The Sane Communityâ€“A Density Problem?,37,37
246,1965,Southwestern Journal of Anthropology,GD Berreman,The study of caste ranking in India,23,23
247,1965,NA,CR Carpenter,"ETHNOLOGY AND GENERAL: Social Behavior and Organization among Vertebrates. William Etkin, ed",0,0
248,1965,American Journal of Physical Anthropology,DS Sade,"Some aspects of parentâ€offspring and sibling relations in a group of rhesus monkeys, with a discussion of grooming",333,333
249,1965,NA,SA Altmann,Primate behavior in review,10,10
250,1965,Symposia of the Zoological Society of London,JP Spradbery,The social organization of wasp communities,44,44
251,1965,Symposium on Medical Aspects of Stress in the â€¦,LD CLARK,AGGRESSIVE BEHAVIOR AND FACTORS AFFECTING IT,0,0
252,1965,Mental Retardation,"CE Gorton, JH Hollis",Redesigning a cottage unit for better programming and research for the severely retarded,34,34
253,1965,Journal of Mammalogy,A Keast,Interrelationships of two zebra species in an overlap zone,35,35
254,1965,NA,EB Shils,Fact and Theory in Social Science,0,0
255,1965,NA,RH Wilson,Time and motion study of agonistic postures during initial pair contests in the domestic fowl,1,1
